species rep pool R1 R2
panicum_millet 1 P3_G021_10x 00.data/proso_millet/rep1/Proso_P3_G021_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_P3_G021_10x_R2.fastq.gz
panicum_millet 1 P8_G017_10x 00.data/proso_millet/rep1/Proso_P8_G017_10x_R1.fastq.gz 00.data/proso_millet/rep1/Proso_P8_G017_10x_R2.fastq.gz
panicum_millet 2 P10_G021_10x 00.data/proso_millet/rep2/Proso_R2_P10_G021_10x_R1.fastq.gz 00.data/proso_millet/rep2/Proso_R2_P10_G021_10x_R2.fastq.gz
panicum_millet 2 P11_G021_10x 00.data/proso_millet/rep2/Proso_R2_P11_G021_10x_R1.fastq.gz 00.data/proso_millet/rep2/Proso_R2_P11_G021_10x_R2.fastq.gz
panicum_millet 2 P12_G021_10x 00.data/proso_millet/rep2/Proso_R2_P12_G021_10x_R1.fastq.gz 00.data/proso_millet/rep2/Proso_R2_P12_G021_10x_R2.fastq.gz
panicum_millet 2 P13_G021_10x 00.data/proso_millet/rep2/Proso_R2_P13_G021_10x_R1.fastq.gz 00.data/proso_millet/rep2/Proso_R2_P13_G021_10x_R2.fastq.gz
panicum_millet 2 P1_G017_10x 00.data/proso_millet/rep2/Proso_R2_P1_G017_10x_R1.fastq.gz 00.data/proso_millet/rep2/Proso_R2_P1_G017_10x_R2.fastq.gz
panicum_millet 2 P1_G021_10x 00.data/proso_millet/rep2/Proso_R2_P1_G021_10x_R1.fastq.gz 00.data/proso_millet/rep2/Proso_R2_P1_G021_10x_R2.fastq.gz
panicum_millet 2 R2_P20_G017_10x 00.data/proso_millet/rep2/Proso_R2_P20_G017_10x_R1.fastq.gz 00.data/proso_millet/rep2/Proso_R2_P20_G017_10x_R2.fastq.gz
panicum_millet 2 R2_P8_G021_10x 00.data/proso_millet/rep2/Proso_R2_P8_G021_10x_R1.fastq.gz 00.data/proso_millet/rep2/Proso_R2_P8_G021_10x_R2.fastq.gz
panicum_millet 2 R2_P9_G021_10x 00.data/proso_millet/rep2/Proso_R2_P9_G021_10x_R1.fastq.gz 00.data/proso_millet/rep2/Proso_R2_P9_G021_10x_R2.fastq.gz
